iter	RMSE
0	382111.5781
1	372108.6696
2	362015.1351
3	352592.9611
4	343479.8803
5	334459.6539
6	325594.9895
7	317097.2085
8	308558.1225
9	300424.1446
10	292644.2456
11	285001.8165
12	277624.6782
13	270609.7022
14	263676.8189
15	256929.1189
16	250483.7445
17	243977.8519
18	237774.5642
19	231832.3023
20	226002.8891
21	220244.4305
22	214958.773
23	209841.1223
24	204816.4217
25	200093.7641
26	195352.4103
27	190827.8859
28	186438.3314
29	182175.3608
30	178013.5699
31	173955.9871
32	170171.5445
33	166304.4252
34	162631.0761
35	158931.6815
36	155475.2475
37	152168.0827
38	148878.4504
39	145675.9449
40	142668.8608
41	139805.9973
42	137091.3093
43	134383.1013
44	131759.262
45	129212.2621
46	126728.057
47	124413.2732
48	122131.5433
49	119969.6277
50	117865.9027
51	115792.3973
52	113927.8168
53	112056.762
54	110332.1298
55	108588.1222
56	106930.6303
57	105389.6833
58	103802.8433
59	102316.2327
60	100845.7291
61	99426.28736
62	98064.72862
63	96704.35386
64	95427.92634
65	94245.64372
66	93119.17556
67	92010.95151
68	91060.09784
69	90004.26171
70	89022.78627
71	88045.23219
72	87195.42916
73	86284.68652
74	85437.77224
75	84616.26554
76	83843.75858
77	83136.47378
78	82423.73661
79	81735.47622
80	81122.773
81	80539.88665
82	79888.24708
83	79346.31819
84	78796.02595
85	78317.9357
86	77731.94414
87	77270.41869
88	76793.15027
89	76321.47128
90	75896.90178
91	75512.09745
92	75071.91993
93	74645.69857
94	74265.67058
95	73882.2833
96	73557.54388
97	73162.91808
98	72814.51516
99	72510.66393
100	72228.11916
101	71890.81483
102	71569.56599
103	71277.72327
104	71018.75207
105	70719.68774
106	70468.59252
107	70198.10584
108	69944.06567
109	69727.06901
110	69532.6007
111	69354.77643
112	69114.62826
113	68930.05538
114	68672.76692
115	68465.62663
116	68294.82946
117	68092.56198
118	67903.88225
119	67678.53924
120	67469.30839
121	67278.79771
122	67106.84491
123	66948.58794
124	66792.7039
125	66687.68294
126	66534.7634
127	66410.31745
128	66258.83279
129	66103.47503
130	65996.24358
131	65847.46039
132	65713.02447
133	65598.80317
134	65441.88999
135	65328.02794
136	65203.73792
137	65054.04872
138	64933.0413
139	64786.76661
140	64691.30007
141	64595.06941
142	64479.57517
143	64353.92189
144	64225.74062
145	64135.76378
146	64037.06474
147	63932.27029
148	63843.37134
149	63763.74764
150	63666.30292
151	63582.50821
152	63481.93949
153	63371.14201
154	63304.87533
155	63233.94852
156	63133.86327
157	63026.44129
158	62938.03639
159	62878.26598
160	62808.0603
161	62725.86084
162	62614.00655
163	62525.56171
164	62443.93773
165	62376.82792
166	62301.09634
167	62224.82279
168	62151.84564
169	62069.80475
170	62006.06017
171	61930.52661
172	61855.10855
173	61787.54802
174	61719.42131
175	61641.9468
176	61595.15746
177	61539.06705
178	61460.7371
179	61377.66945
180	61313.29745
181	61262.52918
182	61228.56561
183	61163.89661
184	61095.26225
185	61038.31589
186	60962.23166
187	60897.27765
188	60845.72604
189	60806.75101
190	60735.11323
191	60692.59309
192	60637.80524
193	60571.88121
194	60543.82872
195	60467.19768
196	60387.53721
197	60347.17327
198	60298.96975
199	60251.88399
200	60185.43103
201	60128.41196
202	60081.04171
203	60036.63076
204	59988.16788
205	59923.43519
206	59865.69542
207	59790.81372
208	59708.19462
209	59660.93025
210	59611.00061
211	59574.05996
212	59528.56958
213	59483.40145
214	59434.03891
215	59396.40524
216	59327.84255
217	59275.33421
218	59214.31218
219	59146.87466
220	59087.0725
221	59045.58037
222	58983.22517
223	58944.9688
224	58892.07903
225	58844.66456
226	58802.98483
227	58724.1681
228	58656.22371
229	58603.10384
230	58536.83693
231	58498.07828
232	58458.24919
233	58423.23589
234	58376.41465
235	58318.73968
236	58295.48963
237	58266.30697
238	58230.30017
239	58192.44318
240	58105.82491
241	58055.55096
242	58013.74703
243	57976.38446
244	57948.95886
245	57893.17643
246	57838.27121
247	57795.46403
248	57767.76261
249	57733.09275
250	57681.85164
251	57618.40659
252	57580.6392
253	57560.63834
254	57509.76628
255	57455.12589
256	57407.63794
257	57354.42751
258	57310.96898
259	57278.72725
260	57216.59406
261	57133.57053
262	57067.67885
263	57041.77501
264	56998.94303
265	56976.37869
266	56903.57383
267	56872.53495
268	56830.62951
269	56793.61917
270	56768.37643
271	56741.30118
272	56705.27769
273	56673.46736
274	56640.59547
275	56581.85306
276	56545.27459
277	56487.56985
278	56457.03797
279	56429.41579
280	56386.67379
281	56367.9226
282	56336.71268
283	56300.73398
284	56275.49567
285	56229.50812
286	56202.06845
287	56155.34225
288	56132.26862
289	56093.05363
290	56045.48213
291	55995.35399
292	55943.88782
293	55894.26805
294	55858.86132
295	55790.86083
296	55761.55277
297	55697.71195
298	55677.96837
299	55635.88739
300	55610.08636
301	55573.5265
302	55518.61404
303	55478.37341
304	55444.83791
305	55374.43416
306	55355.4664
307	55319.48437
308	55262.18199
309	55247.38775
310	55164.89602
311	55142.22235
