iter	Passed	Remaining
0	47	56420
1	77	46482
2	110	43996
3	137	41257
4	171	40925
5	199	39695
6	229	39174
7	257	38388
8	287	38025
9	317	37735
10	343	37128
11	371	36767
12	401	36642
13	431	36546
14	459	36268
15	488	36120
16	515	35896
17	543	35718
18	572	35583
19	602	35538
20	632	35495
21	661	35443
22	688	35215
23	715	35067
24	743	34942
25	770	34770
26	800	34760
27	828	34681
28	858	34661
29	886	34574
30	912	34413
31	941	34352
32	967	34203
33	995	34145
34	1024	34103
35	1051	33994
36	1077	33873
37	1105	33818
38	1136	33833
39	1166	33821
40	1197	33855
41	1226	33811
42	1256	33820
43	1288	33847
44	1316	33784
45	1344	33718
46	1371	33649
47	1401	33626
48	1429	33577
49	1456	33499
50	1486	33493
51	1515	33457
52	1554	33638
53	1588	33719
54	1629	33919
55	1665	34019
56	1696	34010
57	1726	33989
58	1762	34091
59	1792	34055
60	1820	33983
61	1847	33912
62	1876	33870
63	1904	33804
64	1932	33752
65	1961	33703
66	1992	33689
67	2018	33610
68	2047	33555
69	2075	33511
70	2104	33461
71	2132	33407
72	2162	33389
73	2192	33363
74	2221	33322
75	2248	33248
76	2277	33218
77	2308	33201
78	2337	33163
79	2365	33123
80	2393	33061
81	2422	33028
82	2450	32984
83	2480	32957
84	2507	32894
85	2537	32868
86	2566	32836
87	2593	32776
88	2622	32732
89	2650	32693
90	2680	32666
91	2707	32605
92	2734	32543
93	2763	32511
94	2791	32471
95	2820	32440
96	2847	32382
97	2873	32308
98	2900	32256
99	2930	32240
100	2959	32198
101	2987	32163
102	3021	32185
103	3052	32169
104	3082	32147
105	3114	32139
106	3146	32137
107	3176	32120
108	3208	32113
109	3242	32126
110	3276	32148
111	3310	32156
112	3342	32157
113	3373	32133
114	3406	32143
115	3437	32118
116	3464	32072
117	3495	32048
118	3530	32071
119	3562	32065
120	3592	32031
121	3623	32020
122	3655	32010
123	3688	32010
124	3725	32042
125	3759	32047
126	3793	32051
127	3824	32027
128	3858	32031
129	3890	32024
130	3925	32034
131	3955	32006
132	3988	31994
133	4022	31997
134	4056	32002
135	4089	31995
136	4123	31995
137	4156	31983
138	4185	31947
139	4217	31932
140	4255	31964
141	4290	31966
142	4326	31980
143	4361	31983
144	4394	31974
145	4429	31980
146	4462	31969
147	4497	31965
148	4530	31960
149	4563	31942
150	4597	31938
151	4630	31923
152	4665	31923
153	4698	31910
154	4729	31888
155	4762	31869
156	4802	31906
157	4840	31921
158	4878	31938
159	4919	31977
160	4957	31994
161	4994	32001
162	5033	32023
163	5068	32015
164	5103	32012
165	5140	32019
166	5175	32015
167	5213	32022
168	5250	32028
169	5287	32035
170	5319	32011
171	5358	32024
172	5396	32035
173	5434	32045
174	5473	32057
175	5514	32084
176	5545	32050
177	5581	32044
178	5612	32012
179	5645	31993
180	5679	31975
181	5711	31947
182	5744	31926
183	5777	31903
184	5811	31886
185	5844	31863
186	5876	31836
187	5910	31814
188	5940	31774
189	5970	31736
190	6001	31704
191	6031	31667
192	6063	31635
193	6094	31606
194	6106	31470
195	6142	31464
196	6175	31443
197	6205	31404
198	6246	31420
199	6275	31376
200	6303	31331
201	6339	31323
202	6369	31283
203	6401	31256
204	6434	31228
205	6465	31197
206	6494	31154
207	6525	31120
208	6555	31083
209	6582	31032
210	6611	30988
211	6638	30937
212	6667	30894
213	6697	30858
214	6726	30817
215	6752	30762
216	6781	30720
217	6810	30679
218	6839	30637
219	6867	30589
220	6894	30540
221	6920	30487
222	6947	30439
223	6977	30400
224	7006	30361
225	7033	30313
226	7062	30273
227	7091	30231
228	7121	30195
229	7149	30152
230	7176	30103
231	7205	30063
232	7234	30024
233	7260	29972
234	7289	29933
235	7317	29891
236	7344	29841
237	7372	29800
238	7403	29767
239	7429	29717
240	7457	29675
241	7487	29639
242	7514	29594
243	7544	29558
244	7573	29520
245	7602	29483
246	7631	29443
247	7659	29404
248	7687	29359
249	7716	29322
250	7744	29281
251	7773	29241
252	7801	29202
253	7831	29168
254	7859	29126
255	7886	29080
256	7915	29044
257	7945	29009
258	7974	28971
259	8001	28929
260	8031	28895
261	8060	28857
262	8091	28826
263	8116	28776
264	8143	28732
265	8172	28694
266	8198	28649
267	8225	28606
268	8256	28574
269	8287	28545
270	8313	28498
271	8341	28458
272	8368	28414
273	8397	28378
274	8427	28345
275	8454	28305
276	8486	28276
277	8514	28239
278	8541	28196
279	8569	28157
280	8603	28138
281	8634	28108
282	8661	28064
283	8688	28022
284	8718	27990
285	8747	27953
286	8774	27912
287	8800	27868
288	8830	27835
289	8859	27799
290	8887	27762
291	8917	27729
292	8946	27695
293	8972	27650
294	9000	27612
295	9031	27581
296	9057	27538
297	9085	27500
298	9112	27459
299	9142	27427
300	9168	27382
301	9196	27346
302	9225	27309
303	9253	27273
304	9280	27232
305	9311	27202
306	9340	27170
307	9369	27136
308	9397	27098
309	9426	27061
310	9455	27029
311	9481	26986
